Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP,method,model,alpha
0.6333333333333333,0.3511111111111111,0.24,0.13033333333333333,0.4535833333333333,0.6406388888888889,0.6960833333333333,0.7366666666666667,0.6333333333333333,0.6879554063988108,0.6904811377285182,0.6825072055169705,0.6464414021164021,linear,MiniLM,0.05
0.67,0.37,0.252,0.13033333333333333,0.4891388888888889,0.6723055555555555,0.7216944444444444,0.7366666666666667,0.67,0.7037492080416677,0.706225966641116,0.7038756529042653,0.6826246031746032,linear,MPNet,0.05
0.64,0.35,0.24,0.13033333333333333,0.45969444444444446,0.6363055555555555,0.6949722222222222,0.7366666666666667,0.64,0.6858523072202392,0.6900736292588461,0.6806864607758564,0.6481583333333333,linear,MiniLM,0.1
0.6666666666666666,0.37111111111111106,0.252,0.13033333333333333,0.4884722222222223,0.6734166666666666,0.7216944444444444,0.7366666666666667,0.6666666666666666,0.7031340909642868,0.7055456567013471,0.7033395634938476,0.6825650793650794,linear,MPNet,0.1
0.6333333333333333,0.34888888888888886,0.24133333333333334,0.13033333333333333,0.45302777777777775,0.6351944444444445,0.6996944444444444,0.7366666666666667,0.6333333333333333,0.6846220730654774,0.6892508239722862,0.6801218896006697,0.6444294973544974,linear,MiniLM,0.15000000000000002
0.6633333333333333,0.37111111111111106,0.252,0.13033333333333333,0.48513888888888895,0.6736944444444445,0.7216944444444444,0.7366666666666667,0.6633333333333333,0.7006736226547632,0.703227218838133,0.7010211256306335,0.6794678571428571,linear,MPNet,0.15000000000000002
0.6366666666666667,0.35,0.24133333333333334,0.13033333333333333,0.45802777777777776,0.6376944444444445,0.6996944444444444,0.7366666666666667,0.6366666666666667,0.6879554063988108,0.6909070251878736,0.6817628094827393,0.6477674603174602,linear,MiniLM,0.2
0.65,0.3688888888888889,0.252,0.13033333333333333,0.4784722222222223,0.66925,0.7216944444444444,0.7366666666666667,0.65,0.701903856809525,0.7019991871045195,0.6997432728085168,0.6746199735449735,linear,MPNet,0.2
0.6233333333333333,0.34888888888888886,0.24066666666666664,0.13033333333333333,0.4463611111111111,0.6360277777777777,0.6973611111111111,0.7366666666666667,0.6233333333333333,0.6861100551666681,0.6862759836441411,0.6798812576299738,0.6401087301587302,linear,MiniLM,0.25
0.6366666666666667,0.36333333333333334,0.25133333333333335,0.13033333333333333,0.46625,0.6620277777777778,0.7183611111111111,0.7366666666666667,0.6366666666666667,0.7055945592738104,0.7013069914172815,0.7002262172098538,0.6678342592592592,linear,MPNet,0.25
