method,model,alpha,Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP
multiplicative,MiniLM,,0.5566666666666666,0.32888888888888884,0.2306666666666667,0.13033333333333333,0.39302777777777775,0.600361111111111,0.6680277777777778,0.7366666666666667,0.5566666666666666,0.5865923584961503,0.6096223802192676,0.6357665837317258,0.5896941798941799
multiplicative,MPNet,,0.5766666666666667,0.33555555555555555,0.23333333333333334,0.13033333333333333,0.41180555555555554,0.6120277777777777,0.6784722222222223,0.7366666666666667,0.5766666666666667,0.6052382530154339,0.6274198522092508,0.6500579027055813,0.609262433862434
