Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP,method,model,alpha
0.6366666666666667,0.34444444444444444,0.236,0.13033333333333333,0.4563611111111111,0.6289722222222222,0.6871944444444444,0.7366666666666667,0.6366666666666667,0.6858523072202393,0.6899635646059004,0.6757446738675742,0.6409486772486772,geometric,MiniLM,0.05
0.6666666666666666,0.3655555555555555,0.24666666666666667,0.13033333333333333,0.4884722222222223,0.6650833333333332,0.7119722222222222,0.7366666666666667,0.6666666666666666,0.7031340909642868,0.7085667712842121,0.6969153400462941,0.6749579365079366,geometric,MPNet,0.05
0.6333333333333333,0.3422222222222222,0.23933333333333331,0.13033333333333333,0.45302777777777775,0.6218611111111111,0.6920277777777778,0.7366666666666667,0.6333333333333333,0.6816461088630962,0.6870527606787976,0.6743687487110215,0.6382597883597884,geometric,MiniLM,0.1
0.6566666666666666,0.3644444444444444,0.24666666666666667,0.13033333333333333,0.48013888888888895,0.66175,0.7119722222222222,0.7366666666666667,0.6566666666666666,0.7025189738869059,0.7065534874079125,0.6950175952398719,0.669013492063492,geometric,MPNet,0.1
0.63,0.3433333333333333,0.24066666666666667,0.13033333333333333,0.4513611111111111,0.6263055555555556,0.6938055555555555,0.7366666666666667,0.63,0.6840069559880965,0.6839632114852948,0.674489309341062,0.637300529100529,geometric,MiniLM,0.15000000000000002
0.64,0.36111111111111105,0.246,0.13033333333333333,0.47013888888888894,0.6542499999999999,0.7069722222222222,0.7366666666666667,0.64,0.6964674242976201,0.6991604143819252,0.6912519442931561,0.6610273809523809,geometric,MPNet,0.15000000000000002
0.62,0.3433333333333333,0.24,0.13033333333333333,0.4430277777777778,0.6263055555555556,0.6921388888888889,0.7366666666666667,0.62,0.6806736226547632,0.6839737629937154,0.674263174561699,0.6329529100529101,geometric,MiniLM,0.2
0.63,0.35777777777777775,0.24533333333333332,0.13033333333333333,0.45958333333333334,0.6506388888888889,0.7036388888888889,0.7366666666666667,0.63,0.6958523072202392,0.694883226042145,0.6883165962894094,0.6535227513227513,geometric,MPNet,0.2
0.6133333333333333,0.34222222222222226,0.23933333333333331,0.13033333333333333,0.44080555555555556,0.6229722222222221,0.6931388888888889,0.7366666666666667,0.6133333333333333,0.6754949380892871,0.683304049920907,0.6712456249238375,0.6301325396825397,geometric,MiniLM,0.25
0.6233333333333333,0.35111111111111104,0.24333333333333335,0.13033333333333333,0.4529166666666667,0.6400833333333332,0.7004722222222223,0.7366666666666667,0.6233333333333333,0.6937492080416677,0.6926486306885304,0.6849323411827555,0.6461801587301588,geometric,MPNet,0.25
0.6066666666666667,0.33888888888888885,0.2346666666666667,0.13033333333333333,0.4363611111111111,0.6190833333333333,0.68375,0.7366666666666667,0.6066666666666667,0.6675980372678587,0.6782186447702915,0.6665678900084875,0.6240322751322751,geometric,MiniLM,0.3
0.6133333333333333,0.3455555555555555,0.24066666666666667,0.13033333333333333,0.44513888888888886,0.6309166666666666,0.6956388888888889,0.7366666666666667,0.6133333333333333,0.6864674242976201,0.6883407529987913,0.6793236039063503,0.6371834656084655,geometric,MPNet,0.3
0.5933333333333334,0.3377777777777778,0.23333333333333334,0.13033333333333333,0.42469444444444443,0.61575,0.6770833333333334,0.7366666666666667,0.5933333333333334,0.6642647039345254,0.673624943362934,0.6643208611218796,0.6162392857142857,geometric,MiniLM,0.35000000000000003
0.5966666666666667,0.3455555555555555,0.23866666666666664,0.13033333333333333,0.4284722222222222,0.630361111111111,0.6903611111111112,0.7366666666666667,0.5966666666666667,0.6846220730654774,0.685021163568192,0.6768924657499127,0.6272105820105819,geometric,MPNet,0.35000000000000003
0.58,0.33555555555555555,0.23266666666666672,0.13033333333333333,0.4146944444444444,0.6104722222222222,0.67625,0.7366666666666667,0.58,0.6551375689583351,0.6681375854168692,0.6574978349466131,0.6073473544973544,geometric,MiniLM,0.4
0.59,0.3422222222222222,0.23733333333333329,0.13033333333333333,0.42180555555555554,0.6264722222222222,0.6885833333333333,0.7366666666666667,0.59,0.6827767218333347,0.6796047101131281,0.6728994254327813,0.6208365079365079,geometric,MPNet,0.4
0.57,0.33111111111111113,0.23199999999999998,0.13033333333333333,0.4046944444444444,0.6031388888888889,0.6724722222222222,0.7366666666666667,0.57,0.6472406681369066,0.6596422822801374,0.6524482364600416,0.5981410052910053,geometric,MiniLM,0.45
0.5833333333333334,0.33999999999999997,0.2353333333333333,0.13033333333333333,0.41680555555555554,0.6198055555555555,0.684138888888889,0.7366666666666667,0.5833333333333334,0.6779554063988108,0.6794914360600929,0.6707765783912987,0.6163738095238095,geometric,MPNet,0.45
