Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP@1,MAP@3,MAP@5,MAP@10,MAP,alpha_bm25,alpha_mpnet
0.6733333333333333,0.37,0.252,0.13033333333333333,0.3686545584045584,0.505299654049654,0.5404844322344323,0.552623321123321,0.6733333333333333,0.7031340909642868,0.7056108495637352,0.7033116118604286,0.6733333333333333,0.544074074074074,0.5285212962962963,0.5162908730158731,0.5162908730158731,0.0,1.0
0.6666666666666666,0.3711111111111111,0.252,0.13033333333333333,0.36754344729344735,0.5064107651607651,0.5404844322344323,0.552623321123321,0.6666666666666666,0.7031340909642868,0.7055456567013471,0.7033395634938476,0.6666666666666666,0.5448148148148149,0.5288175925925926,0.5167115079365079,0.5167115079365079,0.1,0.9
0.65,0.3688888888888889,0.252,0.13033333333333333,0.36184900284900284,0.5013922466422467,0.5404844322344323,0.552623321123321,0.65,0.7019038568095249,0.7019991871045196,0.6997432728085168,0.65,0.5372222222222222,0.5236055555555555,0.5115376984126984,0.5115376984126984,0.2,0.8
0.63,0.36333333333333334,0.25,0.13033333333333333,0.3503490028490029,0.4993366910866911,0.5373177655677656,0.552623321123321,0.63,0.7000585055773823,0.6963681755176672,0.6949764375356415,0.63,0.5253703703703703,0.5137018518518518,0.5026333333333333,0.5026333333333333,0.30000000000000004,0.7
0.6033333333333334,0.3622222222222222,0.24866666666666665,0.13033333333333333,0.33034900284900287,0.4995033577533578,0.5354288766788767,0.552623321123321,0.6033333333333334,0.6988282714226205,0.6937632324853809,0.6918023351303125,0.6033333333333334,0.5142592592592592,0.5012314814814813,0.4910247574955908,0.4910247574955908,0.4,0.6
0.57,0.3466666666666667,0.24533333333333332,0.13033333333333333,0.3110712250712251,0.4804160561660561,0.5313177655677656,0.552623321123321,0.57,0.6833918389107155,0.6821180134357654,0.6779271342526041,0.57,0.48796296296296293,0.4809138888888889,0.4725319664902998,0.4725319664902998,0.5,0.5
0.5366666666666666,0.3366666666666666,0.24266666666666667,0.13033333333333333,0.28973392348392346,0.471773199023199,0.5276749084249084,0.552623321123321,0.5366666666666666,0.6672406681369066,0.6677945889691127,0.6627593398931977,0.5366666666666666,0.465,0.4621842592592592,0.4552184177374653,0.4552184177374653,0.6000000000000001,0.3999999999999999
0.5066666666666667,0.3222222222222222,0.23666666666666666,0.13033333333333333,0.2680672568172568,0.45565811965811964,0.5195216727716727,0.552623321123321,0.5066666666666667,0.6402166323392877,0.6488332791597852,0.6450047858243425,0.5066666666666667,0.43953703703703706,0.439174074074074,0.43628949672461576,0.43628949672461576,0.7000000000000001,0.29999999999999993
0.49333333333333335,0.3111111111111111,0.23133333333333336,0.13033333333333333,0.26278947903947897,0.43860256410256415,0.5094026251526251,0.552623321123321,0.49333333333333335,0.6187286502380972,0.6392270941166918,0.634003973780921,0.49333333333333335,0.4266666666666667,0.42815277777777777,0.4278031714537666,0.4278031714537666,0.8,0.19999999999999996
0.48,0.29333333333333333,0.22399999999999995,0.13033333333333333,0.2533450345950346,0.41948219373219375,0.4995692918192918,0.552623321123321,0.48,0.599343767315478,0.6190920032425479,0.61746443461152,0.48,0.4047222222222222,0.4124268518518518,0.41481869173595365,0.41481869173595365,0.9,0.09999999999999998
0.45,0.28888888888888886,0.214,0.13033333333333333,0.23612281237281238,0.41281552706552704,0.48344383394383383,0.552623321123321,0.45,0.588986398184526,0.6081759001402773,0.6049026541384205,0.45,0.389074074074074,0.3907805555555556,0.39802740772234824,0.39802740772234824,1.0,0.0
