Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP@1,MAP@3,MAP@5,MAP@10,MAP,alpha_bm25,alpha_minilm
0.6366666666666667,0.34888888888888886,0.24,0.13033333333333333,0.3464786324786325,0.47801790801790794,0.5261630036630036,0.552623321123321,0.6366666666666667,0.6833918389107155,0.686519877248412,0.6791859603426527,0.6366666666666667,0.5075925925925926,0.49497129629629627,0.48998272234819856,0.48998272234819856,0.0,1.0
0.64,0.35,0.24,0.13033333333333333,0.3497061457061457,0.4789623524623525,0.5251630036630036,0.552623321123321,0.64,0.6858523072202392,0.6900736292588461,0.6806864607758564,0.64,0.5117592592592592,0.498575925925926,0.4936093096497857,0.4936093096497857,0.1,0.9
0.6366666666666667,0.35,0.24133333333333332,0.13033333333333333,0.3460950345950346,0.47990679690679694,0.5279407814407815,0.552623321123321,0.6366666666666667,0.6879554063988108,0.6909070251878736,0.6817628094827392,0.6366666666666667,0.5092592592592592,0.497487037037037,0.49170904509952135,0.49170904509952135,0.2,0.8
0.6133333333333333,0.3488888888888889,0.24133333333333334,0.13033333333333333,0.3338728123728124,0.4847083842083842,0.528496336996337,0.552623321123321,0.6133333333333333,0.6824193527023826,0.6817059477705527,0.6778523257701378,0.6133333333333333,0.5017592592592592,0.4905944444444445,0.4848005385487528,0.4848005385487528,0.30000000000000004,0.7
0.6,0.34777777777777774,0.24066666666666672,0.13033333333333333,0.32526170126170123,0.48338034188034185,0.5260836385836386,0.552623321123321,0.6,0.674522451880954,0.6754603464449984,0.6721124968063829,0.6,0.4952777777777777,0.483312037037037,0.4774230158730159,0.4774230158730159,0.4,0.6
0.56,0.33666666666666667,0.23733333333333329,0.13033333333333333,0.3051228123728124,0.4722692307692307,0.5174725274725275,0.552623321123321,0.56,0.6566255510595257,0.665381562133913,0.6615358057428055,0.56,0.47268518518518515,0.464288888888889,0.4608603930461073,0.4608603930461073,0.5,0.5
0.53,0.3322222222222222,0.23733333333333334,0.13033333333333333,0.28917836792836793,0.46838034188034183,0.5155320512820513,0.552623321123321,0.53,0.6468832990059545,0.6599656848700782,0.6553561642347673,0.53,0.45981481481481484,0.45373240740740745,0.4501855379188712,0.4501855379188712,0.6000000000000001,0.3999999999999999
0.5133333333333333,0.3222222222222222,0.23333333333333334,0.13033333333333333,0.27195614570614574,0.4549358974358974,0.5104343711843711,0.552623321123321,0.5133333333333333,0.6310894973630975,0.6431406393598106,0.6401325601696358,0.5133333333333333,0.4411111111111111,0.43684629629629623,0.43571675485008826,0.43571675485008826,0.7000000000000001,0.29999999999999993
0.4866666666666667,0.3077777777777777,0.22733333333333333,0.13033333333333333,0.2583450345950346,0.4370470085470085,0.5032915140415141,0.552623321123321,0.4866666666666667,0.6126771006488114,0.6313016483275488,0.6285313148818633,0.4866666666666667,0.42268518518518516,0.42208240740740743,0.42331662257495584,0.42331662257495584,0.8,0.19999999999999996
0.4766666666666667,0.2944444444444444,0.22333333333333333,0.13033333333333333,0.2522339234839235,0.4225377492877493,0.49887484737484744,0.552623321123321,0.4766666666666667,0.599343767315478,0.6198621276552196,0.6166334519977041,0.4766666666666667,0.4060185185185185,0.4116870370370371,0.4139600182665659,0.4139600182665659,0.9,0.09999999999999998
0.45,0.28888888888888886,0.214,0.13033333333333333,0.23612281237281238,0.41281552706552704,0.48344383394383383,0.552623321123321,0.45,0.588986398184526,0.6081759001402773,0.6049026541384205,0.45,0.389074074074074,0.3907805555555556,0.39802740772234824,0.39802740772234824,1.0,0.0
