method,model,alpha,Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP
max_score,MiniLM,,0.45,0.34444444444444444,0.23933333333333337,0.13033333333333333,0.3035833333333333,0.6285277777777778,0.6955277777777776,0.7366666666666667,0.45,0.5735674336703308,0.5962693316506429,0.6126774557533001,0.5616861111111111
max_score,MPNet,,0.45,0.3555555555555555,0.24733333333333335,0.13033333333333333,0.3035833333333333,0.6509166666666666,0.7103055555555555,0.7366666666666667,0.45,0.589142204765875,0.6100407467030234,0.6201246195472309,0.5736708994708994
